layer,note,name,ild_30_300,ild_300_1k,ild_1k_3k,ild_3k_8k,ild_all,coherence_300_1k,coherence_1k_4k,attack_lag_us
6,21,A0,-4.07,-1.76,0.68,-1.45,-3.56,0.099,0.024,0.5
6,24,C1,-5.26,-2.59,-5.3,-2.76,-4.9,0.091,0.06,15.2
6,27,D#1,-4.84,3.43,2.47,-0.76,-3.91,0.0,0.132,1.4
6,30,F#1,-3.32,1.66,-3.33,-4.28,-3.03,0.104,0.26,-0.5
6,33,A1,-3.61,-2.26,-1.06,0.96,-3.41,0.098,0.415,0.0
6,36,C2,-3.62,-0.95,-6.58,-1.44,-3.42,0.148,0.231,-4.3
6,39,D#2,0.72,-0.49,0.78,-0.99,0.57,0.428,0.091,0.5
6,42,F#2,-4.18,-1.5,-3.55,-0.61,-3.94,0.047,0.202,10.8
6,45,A2,-1.62,-1.31,-2.33,0.35,-1.56,0.215,0.3,-0.4
6,48,C3,-6.3,-1.49,2.24,1.23,-5.79,0.001,0.092,-0.7
6,51,D#3,5.38,2.62,4.64,-0.35,4.04,0.778,0.072,-0.1
6,54,F#3,1.34,-4.59,-9.75,-1.54,-1.86,0.167,0.162,5.9
6,57,A3,-0.88,5.48,-8.95,1.59,1.72,0.154,0.364,0.1
6,60,C4,17.22,2.54,0.18,1.25,6.0,0.538,0.297,7.2
6,63,D#4,-3.73,2.37,-0.3,-8.87,2.24,0.371,0.255,-0.1
6,66,F#4,-3.3,0.6,0.33,-11.99,0.59,0.753,0.393,5.6
6,69,A4,-2.47,9.12,-3.15,-1.7,8.61,0.378,0.575,14.2
6,72,C5,-2.46,6.14,-1.99,-6.64,5.79,0.884,0.087,-0.5
6,75,D#5,-2.21,16.19,6.08,-4.39,15.58,0.707,0.481,-4.2
6,78,F#5,-1.11,4.79,2.45,0.38,4.77,0.977,0.14,16.6
6,81,A5,-2.29,3.82,-0.7,2.18,3.65,0.604,0.377,0.8
6,84,C6,-2.05,-0.65,-4.63,0.42,-4.47,0.057,0.476,-0.5
6,87,D#6,-3.12,-0.69,11.18,6.65,10.8,0.079,0.451,0.0
6,90,F#6,-1.52,-0.82,-4.82,2.09,-4.73,0.074,0.683,-0.2
6,93,A6,-2.17,-0.7,-5.87,5.52,-5.69,0.013,0.854,0.4
6,96,C7,-1.2,-0.42,-2.33,0.4,-2.24,0.043,0.846,-1.0
6,99,D#7,-2.18,0.93,-0.46,3.61,-0.55,0.063,0.454,0.6
6,102,F#7,-3.21,0.92,-0.38,8.27,3.38,0.114,0.015,0.0
6,105,A7,-3.12,0.11,-1.32,-3.94,-3.58,0.062,0.469,0.9
6,108,C8,-2.98,0.71,-2.49,6.09,-1.71,0.025,0.019,-0.1
12,21,A0,-4.02,-1.67,-0.56,-1.96,-3.36,0.102,0.007,0.2
12,24,C1,-5.4,-2.36,-3.25,-3.11,-4.82,0.087,0.068,13.4
12,27,D#1,-4.43,3.48,2.25,-0.39,-2.93,0.011,0.17,-1.1
12,30,F#1,-3.2,1.48,-2.63,-3.46,-2.87,0.094,0.167,7.7
12,33,A1,-3.68,-2.42,-0.96,0.46,-3.4,0.074,0.284,12.1
12,36,C2,-3.59,-0.93,-5.42,0.79,-3.35,0.124,0.091,-3.4
12,39,D#2,0.91,-0.33,1.29,0.46,0.77,0.381,0.092,-0.9
12,42,F#2,-4.25,-1.22,-4.29,1.23,-3.94,0.042,0.152,-12.2
12,45,A2,-1.56,-1.64,-2.8,2.17,-1.64,0.194,0.253,-5.9
12,48,C3,-6.49,-1.68,2.12,2.74,-5.83,0.0,0.146,-3.4
12,51,D#3,5.47,2.77,3.54,-0.8,4.07,0.773,0.054,-10.2
12,54,F#3,1.77,-4.12,-8.78,-2.54,-1.79,0.162,0.149,2.3
12,57,A3,-0.84,5.03,-8.28,1.3,1.53,0.164,0.251,1.2
12,60,C4,17.16,2.48,-0.87,-0.18,5.19,0.591,0.239,2.2
12,63,D#4,-2.08,2.08,-0.43,-7.81,1.87,0.376,0.24,-3.4
12,66,F#4,-3.22,0.58,0.53,-11.1,0.54,0.708,0.279,0.1
12,69,A4,-3.69,7.88,-2.63,-1.67,7.31,0.378,0.422,11.8
12,72,C5,-2.98,6.0,-1.89,-6.25,5.46,0.903,0.152,-3.2
12,75,D#5,-4.24,16.53,3.99,-4.14,15.13,0.692,0.348,1.6
12,78,F#5,-4.03,4.79,3.32,-0.01,4.77,0.977,0.189,-1.3
12,81,A5,-4.45,3.43,-2.77,1.67,2.9,0.584,0.219,-4.6
12,84,C6,-3.93,-0.78,-5.2,-5.31,-5.14,0.12,0.178,-0.1
12,87,D#6,-4.98,-0.6,11.05,6.07,10.63,0.108,0.429,0.1
12,90,F#6,-3.7,-0.74,-4.75,3.37,-4.66,0.115,0.636,2.9
12,93,A6,-4.5,-0.74,-5.27,5.22,-5.09,0.059,0.871,-1.5
12,96,C7,-3.84,-0.07,-1.57,-0.1,-1.61,0.057,0.894,0.3
12,99,D#7,-5.78,0.84,-0.16,4.74,-0.32,0.158,0.603,-1.2
12,102,F#7,-3.82,0.75,0.33,7.69,4.79,0.082,0.02,0.6
12,105,A7,-3.24,1.05,-1.22,-0.31,-0.57,0.029,0.59,0.3
12,108,C8,-4.4,0.68,-2.09,5.16,-1.03,0.037,0.028,1.2
